{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221941', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221941', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221947', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221947', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221972', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323221972', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222004', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222004', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222037', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222038', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222067', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222067', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222100', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222105', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222133', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222145', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222164', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222186', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222207', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222226', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222238', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222265', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222272', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222305', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222306', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222337', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222345', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222369', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222386', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222404', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222425', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222435', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222466', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222470', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222499', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222506', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222531', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222546', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222562', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222586', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222606', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222624', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222637', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222665', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222669', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222705', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222705', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222745', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222745', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222786', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222786', 'TimeType': 'ms', 'Detail': '3'}
