{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468821584', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822221', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822255', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822278', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822310', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822341', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822386', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822421', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822465', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822502', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822546', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822586', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822624', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822665', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822702', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822746', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822784', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822823', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822863', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822905', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822946', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468822984', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823021', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823065', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823106', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823142', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823184', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823226', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823265', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823304', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823342', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823386', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823423', 'TimeType': 'ms', 'Detail': 'FrameTime'}
