{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323221940', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323221947', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323221972', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222004', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222037', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222067', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222100', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222133', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222164', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222207', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222238', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222272', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222305', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222336', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222369', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222404', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323222435', 'TimeType': 'ms', 'Detail': 'FrameTime'}
