{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822177', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822180', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822207', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822211', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822240', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822244', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822270', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822272', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822301', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822303', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822332', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822334', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822375', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822378', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822407', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822409', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822437', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822439', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822468', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822470', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822500', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822503', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822541', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822544', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822572', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822575', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822604', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822606', 'TimeType': 'ms', 'Detail': '0'}
