{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '11', 'TimeType': 'ms', 'Detail': 'Before_recv_cb'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '384', 'TimeType': 'ms', 'Detail': 'ev_signal_init(stream_working)'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '378', 'TimeType': 'ms', 'Detail': 'dtp_client Thead'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'dtp_client'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'socket(peer->ai_family'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '17', 'TimeType': 'ms', 'Detail': 'quiche_connect'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'recv_cb_Start'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '1', 'TimeType': 'ms', 'Detail': 'flush_egress(loop, conn_io);'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '890', 'TimeType': 'ms', 'Detail': 'before_create_conn'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '1', 'TimeType': 'ms', 'Detail': 'before_live_produce'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'BeforePrepareLiveMedia'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'prepareLiveMedia'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '4', 'TimeType': 'ms', 'Detail': 'conn_io->conn'}
{'LogType': 'Latency', 'Which': 'p', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'quiche_conn_readable'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '675', 'TimeType': 'ms', 'Detail': 'OpenCamera'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'InitScale'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '16', 'TimeType': 'ms', 'Detail': 'InitVieoCodec'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'MemoryOutByFIFO'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '1', 'TimeType': 'ms', 'Detail': 'AddStream'}
{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '0', 'TimeType': 'ms', 'Detail': 'Before2Thread'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395018', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395025', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395025', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395026', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395028', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
