{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785475', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785503', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785537', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785570', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785603', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785635', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785668', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785700', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785733', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785766', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785798', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785832', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785873', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785917', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785939', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309785971', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786004', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786036', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786069', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786101', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786133', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786166', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786198', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786242', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786275', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786308', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786340', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786372', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786404', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786437', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786469', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786500', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786532', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786574', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786607', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786640', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786672', 'TimeType': 'ms', 'Detail': 'FrameTime'}
